wp1,wp2,wp3,wp4,wp5,wp6,wp7
0.155,0,0.287,0.072,0.212,0.171,0.202
0.075,0.011,0.198,0.116,0.324,0.382,0.227
0.035,0.085,0.277,0.198,0.521,0.211,0.152
0.206,0.053,0.375,0.072,0.47,0.184,0.202
0.246,0,0.227,0.094,0.521,0.211,0.227
0.12,0.011,0.267,0.05,0.339,0.197,0.253
0.035,0,0.316,0.116,0.238,0.092,0.152
0.01,0,0.435,0.077,0.121,0.079,0.152
0.01,0,0.781,0.138,0.111,0.145,0.253
0.03,0,0.958,0.253,0.066,0.184,0.354
0.09,0,0.879,0.336,0.01,0.25,0.657
0.06,0.005,0.87,0,0,0.145,0.404
0.03,0.032,0.721,0,0,0,0.025
0.05,0.016,0.573,0,0.035,0,0.025
0.005,0.021,0.405,0,0.131,0,0.025
0,0.042,0.128,0,0.106,0,0
0,0.101,0.168,0,0.035,0,0
0.03,0.122,0.208,0,0.01,0,0.101
0.045,0.063,0.296,0.011,0.066,0,0.025
0.025,0.026,0.208,0.066,0.081,0,0.025
0.09,0.005,0.168,0.11,0.116,0,0.253
0.241,0,0.336,0.099,0.157,0,0.253
0.246,0,0.267,0.072,0.091,0,0.227
0.226,0,0.237,0.066,0.051,0,0.152
0.185,0,0.168,0.05,0,0,0.101
0.135,0,0.148,0.028,0.025,0.013,0.152
0.175,0.005,0.089,0.044,0.025,0.118,0.152
0.18,0,0.089,0.039,0.081,0.145,0.152
0.12,0,0.03,0.017,0.035,0.092,0.076
0.1,0,0,0,0.01,0.066,0.025
0.14,0,0,0,0,0.039,0
0.145,0,0,0,0.02,0.013,0
0.035,0,0,0,0,0,0
0.045,0,0,0,0,0,0
0.04,0,0,0,0,0.013,0
0.025,0,0.02,0,0,0,0
0.01,0,0.089,0,0,0,0
0,0,0.099,0,0.025,0,0
0,0,0.02,0,0.02,0,0
0,0,0.03,0,0.005,0.013,0
0,0,0.089,0,0.03,0.013,0
0,0,0.089,0,0.01,0,0
0,0.016,0.109,0,0.005,0,0
0,0.106,0.227,0,0.005,0,0
0,0.122,0.227,0,0.005,0,0
0,0.026,0.128,0,0.01,0,0
0,0,0.04,0,0.01,0,0
0,0.053,0.04,0,0.035,0,0
0,0.005,0,0,0.081,0.013,0
0,0,0,0.006,0.066,0.026,0
0,0,0.01,0,0.015,0.026,0
0,0.016,0.049,0,0.02,0,0
0,0.032,0.069,0,0.005,0,0
0,0.021,0.04,0,0,0,0
0,0.053,0.02,0,0,0.013,0
0.015,0.085,0.04,0,0.005,0,0
0.045,0.016,0.04,0,0,0,0
0.04,0.048,0.049,0.011,0,0,0
0.115,0,0.04,0,0.005,0,0
0.09,0.037,0.03,0,0.005,0.013,0.025
0.06,0.032,0.138,0,0.015,0.026,0.076
0.015,0,0.227,0.066,0.03,0.079,0.051
0.015,0,0.188,0.275,0.005,0.092,0.025
0.04,0.011,0.208,0.226,0,0.053,0.101
0.105,0.026,0.257,0.496,0,0.237,0.126
0.185,0.048,0.306,0.298,0.005,0.25,0.076
0.241,0.079,0.287,0.165,0.015,0.329,0.202
0.12,0.032,0.257,0.314,0.01,0.197,0.126
0.065,0.021,0.148,0.237,0.076,0.092,0.076
0.301,0.005,0.099,0.22,0.106,0.132,0.101
0.271,0,0.04,0.132,0.101,0.132,0.152
0.18,0,0.02,0.044,0.076,0.066,0.076
0.376,0,0.049,0.088,0.111,0.092,0.051
0.586,0.016,0.158,0.138,0.399,0.105,0.076
0.637,0.069,0.405,0.193,0.42,0.118,0.101
0.722,0.127,0.099,0.226,0.677,0.105,0.101
0.712,0.148,0.04,0.154,0.046,0.079,0.076
0.617,0.127,0.158,0.066,0.04,0.053,0.051
0.461,0.106,0.178,0.022,0.152,0.013,0
0.286,0.069,0.158,0,0.04,0,0
0.18,0.037,0.089,0,0.086,0,0
0.125,0.048,0.099,0.006,0.131,0,0
0.15,0.021,0.138,0.022,0.177,0.013,0
0.16,0.079,0.257,0.055,0.157,0.013,0
0.211,0.069,0.277,0.066,0.187,0.026,0
0.256,0.042,0.198,0.072,0.217,0.026,0
0.266,0,0.168,0.055,0.202,0.053,0
0.221,0,0.168,0.072,0.263,0.039,0
0.201,0,0.109,0.05,0.268,0,0
0.18,0.005,0.059,0,0.152,0.013,0
0.15,0.005,0.04,0,0.111,0.013,0
0.08,0,0.049,0,0.076,0,0
0.045,0,0.02,0,0.051,0,0
0.085,0,0,0,0.03,0,0
0.095,0,0,0,0.046,0,0
0.05,0,0,0.017,0.04,0.053,0.076
0.1,0,0.03,0.028,0.02,0.066,0.051
0.09,0,0.049,0.006,0.005,0.066,0
0.08,0,0.04,0,0.081,0.039,0
0.11,0.026,0.01,0,0.157,0.013,0
0.045,0.048,0.01,0,0.187,0.013,0.025
0.11,0.111,0.01,0,0.293,0.013,0.076
0.04,0.159,0.049,0.006,0.319,0.079,0.025
0.015,0.164,0.138,0.11,0.182,0.026,0
0.005,0.169,0.287,0.083,0.142,0.026,0
0.115,0.259,0.287,0.05,0.152,0.079,0.202
0.095,0.376,0.445,0.05,0.111,0.171,0.177
0.07,0.323,0.474,0.331,0.035,0.303,0.278
0.075,0.217,0.553,0.38,0.056,0.618,0.682
0.236,0.302,0.771,0.733,0.096,0.776,0.884
0.246,0.365,0.85,0.628,0.066,0.579,0.606
0.291,0.344,0.741,0.534,0.076,0.25,0.177
0.105,0.28,0.553,0.391,0.142,0.197,0.152
0.175,0.196,0.583,0.336,0.222,0.171,0.505
0.211,0.238,0.534,0.43,0.455,0.539,0.682
0.115,0.175,0.632,0.49,0.602,0.434,0.556
0.085,0.185,0.692,0.347,0.597,0.342,0.379
0.1,0.143,0.662,0.435,0.298,0.316,0.354
0.155,0.063,0.504,0.567,0.329,0.368,0.455
0.386,0.005,0.455,0.545,0.435,0.355,0.303
0.461,0,0.524,0.479,0.268,0.329,0.227
0.667,0,0.474,0.435,0.212,0.237,0.152
0.712,0,0.603,0.22,0.167,0.184,0.076
0.622,0,0.01,0.05,0.076,0.158,0.076
0.376,0,0.099,0.22,0.03,0.132,0.126
0.376,0,0.01,0.391,0.015,0.184,0.101
0.381,0.005,0.02,0.215,0.025,0.132,0.025
0.296,0.005,0.326,0.105,0.01,0.118,0.051
0.246,0.053,0.198,0.099,0.015,0.053,0
0.105,0.127,0.208,0.132,0.01,0.066,0
0.155,0.175,0.445,0.187,0,0.118,0.025
0.095,0.111,0.415,0.237,0.015,0.118,0
0.09,0.111,0.287,0.127,0.051,0.039,0
0.065,0.116,0.158,0.028,0.076,0.013,0.025
0.06,0.127,0.395,0.044,0.061,0.066,0.025
0.07,0.153,0.385,0.05,0.051,0.066,0.025
0.075,0.122,0.208,0.072,0.04,0.092,0.051
0.08,0.063,0.217,0.061,0.015,0.118,0.076
0.065,0.063,0.306,0.061,0,0.197,0.076
0.075,0.042,0.356,0.033,0.04,0.105,0.101
0.16,0.032,0.148,0.011,0.035,0.026,0.101
0.236,0.042,0.04,0,0.035,0,0
0.286,0.026,0.01,0,0.066,0,0
0.16,0.016,0.128,0,0.187,0,0
0.03,0.037,0.553,0,0.354,0.026,0
0,0.021,0.316,0,0.581,0.013,0
0.005,0.063,0.178,0.011,0.465,0.039,0
0.005,0.079,0.682,0,0.324,0.066,0.101
0.095,0.058,0.474,0,0.384,0.013,0.101
0.045,0.058,0.692,0,0.212,0.026,0
0.005,0.095,0.672,0,0.273,0.053,0.051
0.035,0.085,0.553,0,0.384,0.013,0.025
0.065,0.148,0.148,0,0.339,0,0
0.075,0.201,0.02,0.033,0.121,0.013,0
0.105,0.132,0,0.017,0.121,0,0
0.14,0.143,0.02,0,0.197,0,0
0.155,0.153,0.069,0.039,0.324,0.026,0
0.095,0.122,0.178,0.028,0.308,0.026,0
0.135,0.085,0.168,0,0.273,0.039,0.025
0.115,0.079,0.109,0.028,0.253,0.092,0.076
0.065,0.032,0.138,0.083,0.253,0.132,0.126
0.035,0.016,0.168,0.044,0.187,0.105,0.126
0.08,0.005,0.178,0.05,0.076,0.158,0.126
0.095,0.005,0.089,0.05,0.04,0.158,0
0.03,0,0.138,0.044,0.111,0.079,0.025
0.055,0,0.287,0.077,0.116,0.118,0.076
0.211,0.005,0.178,0.061,0.03,0.145,0.101
0.256,0.011,0.237,0.083,0.035,0.132,0.177
0.241,0.026,0.296,0.094,0.056,0.105,0.202
0.351,0.011,0.326,0.143,0.066,0.184,0.278
0.351,0.063,0.415,0.182,0.02,0.211,0.303
0.356,0.063,0.336,0.209,0.02,0.211,0.379
0.321,0.101,0.296,0.171,0.051,0.158,0.253
0.286,0.074,0.247,0.121,0.071,0.145,0.177
0.241,0.079,0.267,0.083,0.106,0.092,0.126
0.15,0.069,0.188,0.05,0.106,0.066,0.051
0.085,0.148,0.148,0.006,0.035,0.013,0
0.18,0.185,0.158,0,0.071,0,0
0.18,0.148,0.109,0.039,0.066,0.013,0
0.206,0.106,0.069,0.022,0.01,0,0
0.231,0.074,0.02,0.011,0.01,0,0
0.211,0.069,0.01,0.017,0.157,0,0
0.155,0.042,0,0.022,0.303,0.039,0
0.226,0.026,0,0.033,0.339,0.053,0
0.401,0.011,0,0.055,0.248,0.013,0
0.426,0.005,0.03,0.088,0.157,0.039,0
0.306,0,0.02,0.083,0.101,0.039,0
0.18,0.011,0.049,0.033,0.051,0.079,0
0.05,0.005,0.04,0.006,0.03,0.026,0
0.015,0,0,0,0.025,0.026,0
0.025,0,0,0,0.03,0.026,0
0.05,0.005,0.01,0.028,0.051,0.039,0
0.04,0.032,0,0.094,0.157,0.039,0
0.04,0.037,0,0.083,0.172,0.066,0.025
0.095,0.021,0,0.105,0.157,0.026,0
0.12,0.005,0.04,0.077,0.283,0.013,0
0.16,0,0.109,0.028,0.683,0.013,0
0.18,0,0.049,0.006,0.693,0.013,0
0.15,0,0.049,0,0.647,0,0
0.075,0.021,0.049,0,0.49,0,0
0.05,0.095,0.02,0,0.303,0,0
0.06,0.138,0.01,0,0.253,0,0
0.045,0.143,0.01,0,0.228,0,0
0.065,0.148,0.03,0,0.384,0.026,0
0.03,0.196,0.04,0.077,0.293,0.066,0
0.005,0.212,0.02,0.154,0.253,0.066,0
0,0.222,0.01,0.143,0.248,0.053,0
0.005,0.18,0,0.182,0.167,0.066,0
0.065,0.228,0,0.242,0.147,0.092,0.051
0.11,0.201,0,0.231,0.066,0.118,0.076
0.165,0.201,0,0.325,0.051,0.171,0.126
0.175,0.217,0,0.298,0.051,0.145,0.051
0.06,0.127,0,0.083,0.061,0.066,0.025
0.01,0.095,0,0.039,0.051,0.053,0
0,0.106,0,0,0.071,0.039,0
0,0.069,0,0,0.116,0.026,0
0,0.069,0.03,0,0.197,0.013,0
0,0.122,0.059,0,0.253,0.013,0
0.005,0.201,0.059,0.006,0.359,0.039,0
0.05,0.265,0.04,0.044,0.354,0.039,0
0.06,0.333,0.03,0.061,0.415,0.053,0
0.07,0.312,0.02,0.033,0.359,0.053,0
0.065,0.265,0.01,0.072,0.253,0.079,0
0.075,0.344,0.02,0.099,0.177,0.092,0.025
0.125,0.344,0.02,0.187,0.101,0.184,0.152
0.211,0.365,0.049,0.38,0.086,0.368,0.379
0.276,0.392,0.079,0.606,0.121,0.447,0.303
0.326,0.413,0.079,0.49,0.177,0.368,0.278
0.291,0.402,0.079,0.518,0.177,0.355,0.303
0.326,0.381,0.128,0.59,0.147,0.408,0.354
0.391,0.296,0.208,0.65,0.121,0.434,0.404
0.471,0.36,0.287,0.683,0.187,0.474,0.429
0.466,0.286,0.296,0.738,0.248,0.605,0.505
0.536,0.466,0.326,0.81,0.233,0.737,0.631
0.647,0.577,0.306,0.826,0.197,0.816,0.783
0.652,0.608,0.257,0.694,0.202,0.868,0.758
0.506,0.767,0.287,0.749,0.298,0.592,0.657
0.431,0.73,0.356,0.545,0.379,0.342,0.404
0.316,0.725,0.336,0.424,0.49,0.276,0.303
0.301,0.661,0.296,0.413,0.303,0.197,0.227
0.566,0.725,0.366,0.32,0.521,0.224,0.227
0.561,0.788,0.563,0.375,0.561,0.184,0.152
0.506,0.841,0.593,0.397,0.854,0.132,0.152
0.431,0.836,0.524,0.27,0.784,0.066,0.051
0.411,0.884,0.148,0.298,0.738,0.158,0.051
0.316,0.899,0.385,0.264,0.541,0.211,0
0.185,0.894,0.356,0.165,0.253,0.145,0.051
0.145,0.899,0.217,0.176,0.364,0.105,0.025
0.221,0.825,0.198,0.353,0.703,0.171,0.126
0.336,0.635,0.356,0.397,0.819,0.289,0.202
0.436,0.333,0.336,0.617,0.612,0.395,0.253
0.416,0.106,0.316,0.777,0.379,0.526,0.278
0.356,0.026,0.415,0.804,0.319,0.618,0.354
0.276,0,0.613,0.634,0.359,0.605,0.429
0.226,0,0.445,0.452,0.349,0.5,0.328
0.211,0.016,0.178,0.342,0.349,0.434,0.253
0.155,0.021,0.089,0.193,0.359,0.276,0.202
0.145,0.011,0.109,0.154,0.253,0.197,0.126
0.16,0.021,0.168,0.077,0.192,0.132,0.177
0.07,0.026,0.188,0.022,0.283,0.105,0.101
0.045,0,0.128,0,0.273,0.066,0.025
0.07,0.011,0.059,0.011,0.131,0.039,0.025
0.055,0.053,0.04,0,0.02,0.026,0
0.06,0.101,0.03,0,0.051,0.026,0
0.06,0.228,0.069,0.006,0.081,0.053,0.025
0.08,0.222,0.109,0.028,0.066,0.053,0.076
0.095,0.323,0.119,0.072,0.061,0.053,0.076
0.045,0.328,0.119,0.094,0.071,0.066,0.051
0.04,0.407,0.119,0.055,0.081,0.039,0
0.15,0.45,0.069,0,0.035,0,0
0.18,0.508,0.03,0,0.04,0,0
0.175,0.471,0.01,0,0.015,0.013,0
0.14,0.27,0.02,0.006,0.015,0.013,0
0.115,0.148,0.03,0.011,0.02,0,0
0.17,0.079,0,0,0.086,0.013,0
0.19,0.021,0,0.028,0.086,0.026,0
0.155,0,0,0.138,0.152,0.039,0
0.195,0.005,0,0.209,0.071,0.053,0
0.206,0.048,0,0.116,0.03,0.079,0.025
0.201,0.101,0.02,0.044,0.056,0.145,0.051
0.165,0.053,0.03,0.022,0.076,0.145,0.051
0.065,0.011,0.01,0,0.091,0.079,0.051
0.035,0,0,0,0.162,0.039,0.051
0.01,0.005,0,0,0.157,0.053,0.025
0,0.016,0,0,0.142,0.039,0.025
0,0,0,0.006,0.091,0.013,0
0,0,0,0,0.046,0.026,0
0.005,0,0,0.006,0.025,0.053,0
0.035,0,0.01,0.061,0.005,0.105,0.076
0.015,0,0.049,0.061,0.015,0.118,0.101
0.005,0,0.069,0.143,0.025,0.158,0.076
0.015,0,0.049,0.138,0.01,0.184,0.101
0.025,0,0.03,0.116,0,0.132,0.025
0.025,0,0.04,0.077,0,0.079,0.025
0.015,0,0.049,0.017,0.015,0.039,0
0,0,0.059,0,0.03,0.013,0
0,0.016,0.03,0,0.005,0.013,0
0,0.063,0.02,0,0,0,0
0,0.169,0.01,0,0.015,0,0
0,0.28,0.01,0,0.086,0.013,0
0,0.317,0.069,0,0.046,0.039,0.025
0,0.307,0.109,0,0.046,0.066,0
0,0.339,0.059,0.011,0.03,0.026,0
0,0.333,0.02,0.033,0.015,0.039,0.025
0,0.365,0.04,0.088,0.005,0.066,0.051
0,0.344,0.059,0.083,0,0.066,0
0,0.354,0.089,0.066,0,0.066,0.025
0,0.344,0.089,0.061,0,0.026,0
0,0.302,0.089,0,0.005,0,0
0,0.28,0.128,0,0.02,0,0
0,0.185,0.109,0,0,0,0
0,0.132,0.059,0,0,0,0
0,0.116,0.02,0,0,0,0
0,0.143,0.01,0,0,0.013,0
0.005,0.106,0,0.006,0,0.066,0
0,0.132,0.01,0.011,0.005,0.079,0
0,0.148,0.01,0,0,0.026,0
0,0.175,0.03,0,0,0.026,0
0,0.18,0.079,0,0,0.039,0.076
0,0.09,0.119,0,0.005,0.079,0.051
0,0.053,0.138,0,0.025,0.066,0.152
0,0.079,0.178,0.006,0.086,0.132,0.152
0,0.106,0.198,0,0.121,0.145,0.101
0,0.127,0.227,0,0.111,0.092,0.152
0,0.164,0.267,0,0.111,0.079,0.126
0,0.233,0.208,0,0.101,0.039,0.076
0.035,0.27,0.188,0,0.101,0,0
0.015,0.122,0.168,0,0.096,0,0.025
0.04,0.037,0.148,0,0.101,0.013,0
0.045,0.063,0.109,0,0.116,0.066,0
0.015,0.058,0.099,0.077,0.106,0.132,0.076
0.03,0.053,0.059,0.044,0.091,0.118,0.076
0,0.005,0.059,0.033,0.121,0.092,0.101
0.01,0.005,0.099,0.006,0.187,0.053,0.025
0.03,0,0.099,0.011,0.172,0.013,0
0.015,0,0.069,0.022,0.177,0.039,0
0.005,0.037,0.079,0,0.106,0.026,0
0,0.026,0.089,0,0.046,0.013,0
0,0.016,0.099,0,0.035,0.013,0
0,0.037,0.089,0,0.005,0.026,0
0,0.085,0.069,0,0,0.013,0
0,0.101,0.04,0,0,0.013,0
0.02,0.058,0.03,0,0,0,0
0.035,0.032,0,0,0,0,0
0.05,0.085,0,0,0,0,0
0.095,0.122,0,0,0,0,0
0.11,0.159,0,0,0.035,0,0
0.08,0.217,0,0,0.071,0,0
0.09,0.196,0.01,0,0.01,0.026,0.051
0.105,0.185,0,0.039,0.056,0.132,0.152
0.135,0.169,0,0.226,0.071,0.105,0.227
0.15,0.143,0,0.237,0.106,0.158,0.126
0.165,0.122,0,0.27,0.187,0.184,0.152
0.195,0.196,0,0.314,0.233,0.171,0.177
0.14,0.243,0,0.353,0.334,0.197,0.202
0.09,0.275,0,0.397,0.354,0.197,0.177
0.06,0.328,0,0.237,0.354,0.145,0.076
0.015,0.079,0,0.149,0.339,0.171,0.051
0.04,0.016,0,0.143,0.308,0.171,0.076
0.085,0,0,0.143,0.273,0.145,0.051
0.125,0,0.02,0.127,0.233,0.092,0.025
0.14,0,0.04,0.028,0.202,0.039,0
0.125,0,0.069,0,0.157,0.039,0
0.055,0,0.089,0.006,0.101,0.013,0
0.055,0,0.099,0.039,0.046,0.039,0
0.06,0,0.049,0.055,0.01,0.079,0.025
0.045,0,0.04,0.094,0.005,0.132,0.051
0.06,0.011,0.03,0.132,0.01,0.145,0.076
0.075,0.037,0.04,0.187,0.051,0.237,0.126
0.211,0.063,0.049,0.501,0.278,0.382,0.202
0.396,0.085,0.089,0.463,0.364,0.355,0.253
0.361,0.074,0.109,0.32,0.268,0.289,0.253
0.311,0.048,0.119,0.309,0.131,0.276,0.227
0.336,0.063,0.109,0.391,0.253,0.289,0.227
0.301,0.026,0.138,0.248,0.445,0.197,0.152
0.306,0.005,0.138,0.209,0.374,0.158,0.101
0.281,0,0.089,0.165,0.44,0.132,0.076
0.286,0,0.059,0.127,0.334,0.066,0.025
0.311,0,0.03,0.165,0.329,0.079,0.076
0.261,0,0.02,0.187,0.319,0.105,0.025
0.08,0,0.03,0.094,0.273,0.053,0
0.005,0,0.04,0.132,0.308,0.039,0
0.135,0,0.069,0.242,0.308,0.145,0.025
0.286,0,0.178,0.419,0.283,0.25,0.076
0.361,0,0.316,0.364,0.268,0.197,0.126
0.321,0.016,0.178,0.353,0.303,0.184,0.152
0.306,0.021,0.208,0.342,0.394,0.197,0.101
0.286,0.016,0.494,0.369,0.404,0.197,0.126
0.336,0.026,0.375,0.419,0.258,0.197,0.202
0.301,0.053,0.267,0.32,0.131,0.197,0.227
0.296,0.016,0.168,0.253,0.177,0.171,0.177
0.18,0,0.109,0.143,0.339,0.184,0.227
0.13,0.042,0.138,0.11,0.551,0.145,0.177
0.12,0.291,0.138,0.198,0.531,0.211,0.354
0.201,0.275,0.109,0.27,0.713,0.289,0.379
0.301,0.074,0.109,0.397,0.677,0.368,0.379
0.336,0.111,0.059,0.314,0.516,0.342,0.379
0.306,0.143,0.03,0.331,0.435,0.211,0.253
0.246,0.196,0.02,0.32,0.293,0.25,0.177
0.301,0.169,0.04,0.391,0.192,0.25,0.177
0.231,0.106,0.03,0.264,0.157,0.118,0.076
0.296,0.079,0.03,0.099,0.152,0.053,0.025
0.236,0.042,0.01,0.132,0.177,0.132,0.051
0.195,0.042,0,0.193,0.157,0.158,0.101
0.1,0.042,0,0.209,0.243,0.145,0.101
0.16,0.069,0,0.248,0.278,0.145,0.126
0.291,0.132,0,0.237,0.177,0.171,0.152
0.381,0.116,0.02,0.215,0.298,0.132,0.101
0.301,0.069,0.079,0.171,0.349,0.145,0.177
0.331,0.053,0.128,0.143,0.46,0.092,0.253
0.371,0.026,0.109,0.099,0.571,0.053,0.278
0.206,0,0.069,0.022,0.612,0.013,0.051
0.12,0,0.128,0,0.445,0.013,0
0.085,0.011,0.247,0.011,0.379,0.053,0
0.02,0.032,0.267,0,0.233,0.039,0
0.01,0.069,0.128,0,0.167,0.013,0
0.03,0.048,0.178,0,0.182,0,0
0.055,0.053,0.346,0,0.172,0,0
0.115,0.095,0.494,0,0.177,0,0
0.085,0.079,0.415,0,0.167,0,0
0.06,0.037,0.148,0,0.177,0,0
0.085,0.09,0.277,0,0.137,0,0
0.08,0.254,0.267,0,0.046,0.013,0
0.035,0.392,0.217,0.017,0.046,0.066,0
0.055,0.328,0.178,0.116,0.04,0.079,0
0.155,0.307,0.257,0.16,0.04,0.079,0
0.306,0.333,0.296,0.215,0.01,0.171,0.101
0.17,0.339,0.306,0.116,0.03,0.145,0.152
0.08,0.339,0.109,0.033,0.035,0.053,0.025
0.155,0.328,0.049,0.072,0.071,0.079,0
0.17,0.407,0.049,0.132,0.071,0.079,0.025
0.271,0.619,0.049,0.165,0.116,0.118,0.051
0.406,0.704,0.188,0.248,0.187,0.211,0.177
0.571,0.767,0.405,0.468,0.425,0.368,0.303
0.717,0.841,0.553,0.551,0.733,0.553,0.429
0.782,0.926,0.524,0.413,0.713,0.553,0.328
0.752,0.942,0.405,0.242,0.551,0.224,0.253
0.576,0.926,0.662,0.193,0.167,0.211,0.177
0.486,0.952,0.425,0.066,0.319,0.118,0.126
0.251,0.947,0.128,0.419,0.147,0.303,0.177
0.266,0.899,0.366,0.408,0.177,0.526,0.631
0.281,0.762,0.385,0.358,0.571,0.237,0.278
0.175,0.556,0.227,0.584,0.622,0.5,0.202
0.306,0.402,0.287,0.661,0.445,0.658,0.429
0.336,0.28,0.316,0.689,0.571,0.566,0.429
0.281,0.275,0.128,0.65,0.622,0.434,0.404
0.236,0.27,0.049,0.518,0.495,0.382,0.379
0.266,0.307,0.03,0.391,0.536,0.368,0.177
0.361,0.159,0.01,0.259,0.41,0.289,0.152
0.266,0.032,0.01,0.05,0.541,0.132,0.076
0.06,0.016,0,0.066,0.592,0.066,0.025
0.07,0.005,0,0.099,0.313,0.066,0
0.04,0.042,0,0.039,0.192,0.079,0
0.17,0.265,0,0.077,0.243,0.066,0.025
0.246,0.423,0,0.083,0.288,0.066,0.025
0.165,0.603,0.01,0.044,0.374,0.066,0
0.065,0.667,0.04,0.033,0.298,0.053,0.025
0.09,0.624,0.089,0.072,0.329,0.066,0.025
0.16,0.46,0.138,0.132,0.415,0.092,0
0.271,0.471,0.128,0.275,0.597,0.171,0.101
0.341,0.423,0.247,0.391,0.404,0.303,0.227
0.441,0.423,0.119,0.281,0.212,0.289,0.303
0.451,0.36,0.208,0.226,0.081,0.197,0.202
0.366,0.339,0.119,0.127,0.222,0.132,0.126
0.195,0.275,0.128,0.138,0.263,0.079,0.025
0.13,0.143,0.208,0.176,0.41,0.079,0
0.135,0.095,0.217,0.154,0.308,0.105,0
0.201,0.074,0.128,0.121,0.324,0.053,0
0.18,0.032,0.119,0.05,0.253,0.026,0
0.115,0.005,0.069,0.039,0.152,0.013,0
0.105,0,0.04,0.017,0.061,0,0
0.07,0,0.02,0,0.005,0.026,0
0.12,0.011,0.01,0.006,0,0.026,0
0.085,0.032,0.02,0,0.03,0.039,0
0.03,0,0.03,0,0.015,0.066,0
0.01,0.074,0.01,0.011,0,0.105,0
0.005,0.185,0.02,0.022,0,0.118,0.051
0,0.164,0,0.094,0,0.118,0.025
0.07,0.143,0.01,0.149,0,0.105,0
0.211,0.106,0.02,0.182,0,0.105,0.025
0.236,0.111,0.069,0.248,0.03,0.145,0.101
0.271,0.063,0.128,0.187,0.081,0.118,0.076
0.216,0.042,0.148,0.149,0.147,0.197,0.126
0.16,0.026,0.168,0.275,0.248,0.25,0.202
0.18,0.016,0.188,0.32,0.202,0.303,0.278
0.201,0,0.188,0.275,0.238,0.408,0.354
0.15,0.005,0.168,0.314,0.399,0.408,0.227
0.11,0,0.178,0.275,0.303,0.263,0.253
0.236,0,0.277,0.342,0.228,0.263,0.354
0.376,0.021,0.346,0.485,0.197,0.434,0.429
0.396,0.063,0.326,0.556,0.217,0.487,0.429
0.371,0.021,0.356,0.623,0.273,0.526,0.404
0.371,0.016,0.336,0.623,0.425,0.5,0.455
0.441,0.026,0.366,0.518,0.329,0.434,0.455
0.466,0.016,0.287,0.452,0.359,0.329,0.253
0.371,0,0.277,0.325,0.404,0.342,0.303
0.306,0,0.316,0.342,0.521,0.316,0.227
0.346,0,0.445,0.667,0.693,0.368,0.303
0.306,0.005,0.395,0.601,0.763,0.368,0.404
0.401,0.058,0.366,0.518,0.829,0.447,0.581
0.261,0.042,0.316,0.595,0.784,0.566,0.581
0.436,0.111,0.287,0.766,0.728,0.632,0.556
0.702,0.037,0.356,0.815,0.657,0.711,0.758
0.762,0,0.395,0.606,0.581,0.474,0.429
0.637,0,0.603,0.584,0.617,0.605,0.53
0.602,0,0.484,0.788,0.374,0.724,0.657
0.707,0,0.346,0.733,0.364,0.526,0.631
0.802,0,0.306,0.534,0.738,0.368,0.404
0.757,0,0.336,0.226,0.501,0.184,0.227
0.642,0,0.316,0.05,0.319,0.105,0.025
0.456,0,0.336,0,0.536,0.039,0
0.18,0,0.326,0,0.728,0.053,0
0.1,0,0.267,0.105,0.9,0.105,0.101
0.216,0,0.395,0.253,0.814,0.145,0.126
0.231,0,0.524,0.231,0.44,0.171,0.202
0.291,0,0.682,0.171,0.258,0.276,0.278
0.291,0,0.8,0.226,0.126,0.276,0.278
0.246,0,0.702,0.336,0.046,0.316,0.278
0.19,0,0.484,0.347,0.005,0.316,0.278
0.261,0,0.316,0.303,0,0.303,0.278
0.341,0.005,0.198,0.253,0.005,0.197,0.202
0.311,0.095,0.208,0.143,0.025,0.105,0.076
0.216,0.238,0.247,0.088,0.025,0.092,0.076
0.11,0.233,0.267,0.094,0.066,0.105,0.076
0.045,0.196,0.237,0.061,0.061,0.092,0.051
0.02,0.132,0.158,0.017,0.061,0.092,0.025
0.005,0.169,0.178,0.006,0.076,0.079,0.025
0.035,0.175,0.138,0,0.046,0.053,0
0.03,0.153,0.158,0.011,0.03,0.171,0.152
0,0.069,0.128,0.017,0.091,0.079,0.025
0.005,0.011,0.198,0.336,0.106,0.066,0.025
0.236,0,0.089,0.094,0.157,0.039,0.051
0.115,0,0.069,0.209,0.111,0.316,0.051
0.04,0,0.059,0.072,0.162,0.421,0.202
0.065,0,0,0.017,0.253,0.211,0.328
0.07,0,0,0.033,0.364,0.145,0.051
0.05,0,0,0.022,0.298,0.092,0.025
0.035,0,0,0.022,0.081,0.105,0.051
0.02,0.005,0,0.022,0.111,0.118,0.051
0.04,0.005,0.01,0.011,0.061,0.066,0.025
0.04,0,0,0.011,0,0.039,0
0.045,0.005,0,0.011,0,0.066,0
0.04,0.011,0,0.022,0,0.066,0
0.04,0.016,0,0.011,0,0.013,0
0.04,0,0,0,0,0,0
0.005,0,0,0,0,0,0
0,0.011,0,0,0,0,0
0,0,0,0,0,0,0
0,0.011,0,0,0,0,0
0,0.021,0,0,0,0,0
0.005,0.005,0,0,0,0,0
0.015,0.037,0,0,0,0,0
0.005,0.037,0.01,0,0.005,0.013,0
0.005,0.005,0.01,0,0,0.026,0
0.015,0,0,0.011,0,0.039,0
0.025,0.016,0,0.017,0.005,0.026,0
0.025,0.016,0,0,0.005,0.013,0
